n.arms	t.1	t.2	t.3	t.4	t.5	y.2	Var.2	y.3	Var.3	y.4	Var.4	y.5	Var.5	V
3	1	28	33	NA	NA	-0.442200	0.042005	-0.802897	0.043160	NA	NA	NA	NA	0.024390
3	1	29	33	NA	NA	-0.866715	0.019905	-1.287506	0.020260	NA	NA	NA	NA	0.016529
3	1	29	35	NA	NA	0.159265	0.105124	-0.059724	0.114751	NA	NA	NA	NA	0.062500
3	1	30	33	NA	NA	0.032634	0.070637	-0.277731	0.070969	NA	NA	NA	NA	0.047619
3	1	31	31	NA	NA	-1.194351	0.105779	-0.653248	0.096965	NA	NA	NA	NA	0.058824
3	1	35	35	NA	NA	-1.166048	0.104797	-1.289117	0.113175	NA	NA	NA	NA	0.066667
3	1	36	36	NA	NA	-1.627374	0.056942	-1.905824	0.059975	NA	NA	NA	NA	0.037037
3	2	9	18	NA	NA	-0.041376	0.022286	-0.469660	0.021638	NA	NA	NA	NA	0.012739
3	2	16	36	NA	NA	-0.131405	0.071333	-0.738637	0.072033	NA	NA	NA	NA	0.050000
3	2	18	18	NA	NA	-0.359611	0.012674	-0.322238	0.012604	NA	NA	NA	NA	0.007692
3	2	18	18	NA	NA	-0.326378	0.017002	-0.279703	0.017077	NA	NA	NA	NA	0.010870
3	2	18	19	NA	NA	-0.563788	0.012912	-0.624386	0.012919	NA	NA	NA	NA	0.007576
3	2	18	19	NA	NA	-0.736713	0.012174	-0.559010	0.012139	NA	NA	NA	NA	0.006944
3	2	19	19	NA	NA	-0.671891	0.016890	-0.648881	0.016848	NA	NA	NA	NA	0.007937
3	2	22	23	NA	NA	-0.950674	0.058866	-1.526946	0.062668	NA	NA	NA	NA	0.038462
3	2	22	35	NA	NA	0.356070	0.077276	-0.344538	0.077233	NA	NA	NA	NA	0.052632
3	3	30	32	NA	NA	-0.169176	0.032919	-0.507832	0.030653	NA	NA	NA	NA	0.020833
3	6	8	8	NA	NA	-0.176934	0.056428	-0.085270	0.056352	NA	NA	NA	NA	0.037037
3	22	35	40	NA	NA	-0.845338	0.078014	-0.681402	0.079786	NA	NA	NA	NA	0.050000
4	1	5	30	30	NA	-0.397452	0.030699	-0.522932	0.030105	-0.685473	0.030848	NA	NA	0.019231
4	2	2	13	13	NA	-0.125406	0.015963	-0.295252	0.015857	-0.397863	0.015677	NA	NA	0.010870
4	2	3	23	31	NA	-0.257543	0.052900	-1.403205	0.055805	-0.311152	0.050953	NA	NA	0.037037
4	2	20	23	31	NA	-0.117132	0.121723	-0.608019	0.118382	-0.118884	0.102051	NA	NA	0.066667
4	2	23	31	41	NA	-0.521620	0.047492	-0.253230	0.047810	-1.282438	0.051449	NA	NA	0.037037
4	3	24	24	24	NA	-0.494649	0.151436	0.069457	0.143952	-0.332738	0.144903	NA	NA	0.076923
4	5	7	8	8	NA	0.136747	0.053544	0.080321	0.052579	0.411723	0.052914	NA	NA	0.034483
5	2	15	15	15	18	-0.304881	0.010063	-0.569978	0.010179	-0.386029	0.010014	-0.449314	0.010003	0.006061
5	2	16	30	30	37	-0.671526	0.026137	-0.497004	0.025201	-0.614340	0.025542	-0.531314	0.025378	0.017467
