n.arms	t.1	t.2	t.3	t.4	t.5	y.2	Var.2	y.3	Var.3	y.4	Var.4	y.5	Var.5	V
2	1	6	NA	NA	NA	-0.916255	0.101295	NA	NA	NA	NA	NA	NA	NA
2	1	7	NA	NA	NA	-0.956381	0.151841	NA	NA	NA	NA	NA	NA	NA
2	1	8	NA	NA	NA	-0.768207	0.015674	NA	NA	NA	NA	NA	NA	NA
2	1	8	NA	NA	NA	-0.748858	0.063047	NA	NA	NA	NA	NA	NA	NA
2	1	8	NA	NA	NA	-1.248431	0.059678	NA	NA	NA	NA	NA	NA	NA
2	1	8	NA	NA	NA	-0.944181	0.035749	NA	NA	NA	NA	NA	NA	NA
2	1	8	NA	NA	NA	-0.944181	0.035749	NA	NA	NA	NA	NA	NA	NA
2	1	21	NA	NA	NA	-0.857090	0.147923	NA	NA	NA	NA	NA	NA	NA
2	1	24	NA	NA	NA	-0.629537	0.050508	NA	NA	NA	NA	NA	NA	NA
2	1	30	NA	NA	NA	-1.888391	0.078652	NA	NA	NA	NA	NA	NA	NA
2	1	31	NA	NA	NA	-0.905685	0.123646	NA	NA	NA	NA	NA	NA	NA
2	1	34	NA	NA	NA	-0.454393	0.053596	NA	NA	NA	NA	NA	NA	NA
2	1	34	NA	NA	NA	-1.696063	0.111473	NA	NA	NA	NA	NA	NA	NA
2	2	9	NA	NA	NA	-0.500842	0.024922	NA	NA	NA	NA	NA	NA	NA
2	2	9	NA	NA	NA	-0.196526	0.031674	NA	NA	NA	NA	NA	NA	NA
2	2	10	NA	NA	NA	-0.398834	0.198957	NA	NA	NA	NA	NA	NA	NA
2	2	11	NA	NA	NA	-0.494518	0.044884	NA	NA	NA	NA	NA	NA	NA
2	2	12	NA	NA	NA	-0.333080	0.054693	NA	NA	NA	NA	NA	NA	NA
2	2	13	NA	NA	NA	-0.371851	0.007721	NA	NA	NA	NA	NA	NA	NA
2	2	13	NA	NA	NA	-0.909000	0.016241	NA	NA	NA	NA	NA	NA	NA
2	2	14	NA	NA	NA	-0.373083	0.121369	NA	NA	NA	NA	NA	NA	NA
2	2	15	NA	NA	NA	-0.252778	0.009388	NA	NA	NA	NA	NA	NA	NA
2	2	16	NA	NA	NA	0.001708	0.050542	NA	NA	NA	NA	NA	NA	NA
2	2	17	NA	NA	NA	-0.232335	0.016923	NA	NA	NA	NA	NA	NA	NA
2	2	17	NA	NA	NA	-0.601887	0.013777	NA	NA	NA	NA	NA	NA	NA
2	2	17	NA	NA	NA	-0.549670	0.036253	NA	NA	NA	NA	NA	NA	NA
2	2	17	NA	NA	NA	-0.848389	0.147448	NA	NA	NA	NA	NA	NA	NA
2	2	17	NA	NA	NA	-0.420396	0.011372	NA	NA	NA	NA	NA	NA	NA
2	2	18	NA	NA	NA	-1.083825	0.039077	NA	NA	NA	NA	NA	NA	NA
2	2	18	NA	NA	NA	-0.461624	0.010746	NA	NA	NA	NA	NA	NA	NA
2	2	18	NA	NA	NA	-0.625979	0.008561	NA	NA	NA	NA	NA	NA	NA
2	2	18	NA	NA	NA	-0.887545	0.019421	NA	NA	NA	NA	NA	NA	NA
2	2	18	NA	NA	NA	-0.220551	0.055834	NA	NA	NA	NA	NA	NA	NA
2	2	19	NA	NA	NA	-0.325878	0.012259	NA	NA	NA	NA	NA	NA	NA
2	2	19	NA	NA	NA	-0.258515	0.012692	NA	NA	NA	NA	NA	NA	NA
2	2	21	NA	NA	NA	-0.910792	0.044441	NA	NA	NA	NA	NA	NA	NA
2	2	22	NA	NA	NA	-0.372849	0.008616	NA	NA	NA	NA	NA	NA	NA
2	2	22	NA	NA	NA	-0.338845	0.042699	NA	NA	NA	NA	NA	NA	NA
2	2	22	NA	NA	NA	-0.193059	0.010617	NA	NA	NA	NA	NA	NA	NA
2	2	23	NA	NA	NA	-0.328359	0.060604	NA	NA	NA	NA	NA	NA	NA
2	3	29	NA	NA	NA	0.011363	0.106720	NA	NA	NA	NA	NA	NA	NA
2	3	30	NA	NA	NA	0.407883	0.072991	NA	NA	NA	NA	NA	NA	NA
2	3	31	NA	NA	NA	-0.201290	0.075612	NA	NA	NA	NA	NA	NA	NA
2	4	27	NA	NA	NA	-0.154772	0.078597	NA	NA	NA	NA	NA	NA	NA
2	6	6	NA	NA	NA	0.151446	0.030368	NA	NA	NA	NA	NA	NA	NA
2	6	8	NA	NA	NA	-0.275990	0.020290	NA	NA	NA	NA	NA	NA	NA
2	8	8	NA	NA	NA	0.007661	0.039951	NA	NA	NA	NA	NA	NA	NA
2	8	30	NA	NA	NA	-0.098455	0.095640	NA	NA	NA	NA	NA	NA	NA
2	8	31	NA	NA	NA	0.230010	0.024528	NA	NA	NA	NA	NA	NA	NA
2	18	39	NA	NA	NA	-0.431875	0.108430	NA	NA	NA	NA	NA	NA	NA
2	21	31	NA	NA	NA	0.106403	0.064261	NA	NA	NA	NA	NA	NA	NA
2	21	38	NA	NA	NA	-0.107229	0.068384	NA	NA	NA	NA	NA	NA	NA
2	24	25	NA	NA	NA	-0.012651	0.050781	NA	NA	NA	NA	NA	NA	NA
2	24	30	NA	NA	NA	-0.194965	0.118891	NA	NA	NA	NA	NA	NA	NA
2	24	30	NA	NA	NA	0.140741	0.068912	NA	NA	NA	NA	NA	NA	NA
2	24	30	NA	NA	NA	0.011795	0.089373	NA	NA	NA	NA	NA	NA	NA
2	26	28	NA	NA	NA	-0.084275	0.058612	NA	NA	NA	NA	NA	NA	NA
2	26	35	NA	NA	NA	-1.150455	0.066345	NA	NA	NA	NA	NA	NA	NA
2	27	30	NA	NA	NA	0.012860	0.111968	NA	NA	NA	NA	NA	NA	NA
2	27	31	NA	NA	NA	-0.765467	0.057563	NA	NA	NA	NA	NA	NA	NA
2	30	30	NA	NA	NA	0.005074	0.054167	NA	NA	NA	NA	NA	NA	NA
2	30	30	NA	NA	NA	-0.588724	0.097222	NA	NA	NA	NA	NA	NA	NA
2	30	33	NA	NA	NA	-0.198936	0.042956	NA	NA	NA	NA	NA	NA	NA
2	31	31	NA	NA	NA	0.197864	0.050518	NA	NA	NA	NA	NA	NA	NA
2	35	35	NA	NA	NA	0.831596	0.094431	NA	NA	NA	NA	NA	NA	NA
3	1	5	7	NA	NA	-0.527617	0.132721	-0.582874	0.122468	NA	NA	NA	NA	0.071429
3	1	5	8	NA	NA	-0.667164	0.039021	-0.625565	0.038909	NA	NA	NA	NA	0.025000
3	1	6	8	NA	NA	-0.416244	0.051118	-0.990529	0.052776	NA	NA	NA	NA	0.028571
3	1	14	30	NA	NA	-0.928530	0.272467	-1.500298	0.295118	NA	NA	NA	NA	0.166667
3	1	24	30	NA	NA	-0.552785	0.165503	-0.644021	0.166268	NA	NA	NA	NA	0.125000
3	1	24	31	NA	NA	-1.500561	0.167082	-1.061654	0.141288	NA	NA	NA	NA	0.100000
3	1	24	36	NA	NA	-0.943374	0.071296	-1.854451	0.078494	NA	NA	NA	NA	0.050000
